Local time,Open,High,Low,Close,Volume
01.03.2022 00:00:00.000 GMT+0100,1908.638,1908.738,1906.658,1907.158,30759.9995
01.03.2022 00:01:00.000 GMT+0100,1907.298,1907.988,1907.298,1907.848,23119.9991
01.03.2022 00:02:00.000 GMT+0100,1907.858,1908.638,1907.858,1908.598,8820.0001
01.03.2022 00:03:00.000 GMT+0100,1908.528,1908.558,1908.108,1908.118,15320.0002
01.03.2022 00:04:00.000 GMT+0100,1908.008,1908.318,1907.928,1908.308,11719.9998
01.03.2022 00:05:00.000 GMT+0100,1908.268,1908.278,1907.658,1907.668,16589.9992
01.03.2022 00:06:00.000 GMT+0100,1907.658,1908.138,1907.658,1908.118,14259.9996
01.03.2022 00:07:00.000 GMT+0100,1908.058,1908.448,1908.058,1908.448,10339.9996
01.03.2022 00:08:00.000 GMT+0100,1908.428,1908.788,1908.418,1908.778,11839.9998
01.03.2022 00:09:00.000 GMT+0100,1908.678,1908.778,1908.588,1908.628,10339.9996
01.03.2022 00:10:00.000 GMT+0100,1908.638,1908.698,1908.608,1908.618,7040.0001
01.03.2022 00:11:00.000 GMT+0100,1908.518,1908.538,1908.278,1908.418,9899.9999
01.03.2022 00:12:00.000 GMT+0100,1908.398,1908.398,1907.848,1907.858,13199.9999
01.03.2022 00:13:00.000 GMT+0100,1907.838,1907.838,1907.568,1907.588,12099.9999
01.03.2022 00:14:00.000 GMT+0100,1907.578,1908.008,1907.378,1908.008,7739.9998
01.03.2022 00:15:00.000 GMT+0100,1907.948,1908.008,1907.628,1907.638,8139.9996
01.03.2022 00:16:00.000 GMT+0100,1907.668,1907.888,1907.278,1907.278,8100.0002
01.03.2022 00:17:00.000 GMT+0100,1907.158,1907.378,1906.978,1907.348,11640.0002
01.03.2022 00:18:00.000 GMT+0100,1907.328,1907.448,1907.058,1907.428,13860.0003
01.03.2022 00:19:00.000 GMT+0100,1907.438,1907.728,1907.438,1907.708,9239.9996
